title,summary,link,published,court,domain,subdomain,clean_text,token_count,case_year,case_id,jurisdiction
"Anderson v. State of California, 687 F.Supp.2d (2022)","This opinion addresses legal questions related to through this case, the judiciary analyzed principles of e-commerce law while reinforcing key doctrines from corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/5073798/,2016-05-29,California Supreme Court,Corporate & Commercial Law,E-Commerce Law,"The opinion explores legal issues surrounding e-commerce law ruling. through this case, the judiciary analyzed principles of e-commerce law while reinforcing key doctrines from corporate & commercial law.",32,2016,91fe2e5d70,US-State
"Martin v. Google Inc., 629 S.Ct. (2014)","This opinion addresses legal questions related to in a significant legal interpretation, the case examines evolving standards related to evidence in criminal cases under the umbrella of criminal law & procedure. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/7672867/,2023-12-05,"U.S. District Court, Southern District of New York",Criminal Law & Procedure,Evidence in Criminal Cases,"This matter involves evidence in criminal cases ruling. in a significant legal interpretation, the case examines evolving standards related to evidence in criminal cases under the umbrella of criminal law & procedure.",41,2023,4ace942d14,US-State
"Martin v. Google Inc., 285 F.3d (2003)","This opinion addresses legal questions related to the facts of this matter center on securities regulation, where the court balanced competing interests within corporate & commercial law principles. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/6569276/,2018-08-29,Supreme Court of the United States,Corporate & Commercial Law,Securities Regulation,"This matter involves securities regulation ruling. the facts of this matter center on securities regulation, where the court balanced competing interests within corporate & commercial law principles.",35,2018,4a04724b98,US-State
"Davis v. IRS, 674 U.S. (2010)",This opinion addresses legal questions related to a dispute that highlights regulatory and constitutional questions surrounding securities regulation in relation to corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/4975633/,2024-10-17,Texas Supreme Court,Corporate & Commercial Law,Securities Regulation,This judgment concerns securities regulation ruling. a dispute that highlights regulatory and constitutional questions surrounding securities regulation in relation to corporate & commercial law.,31,2024,b04256525a,US-State
"Taylor v. EPA, 796 Fed. Appx. (2007)","This opinion addresses legal questions related to this proceeding involves a multifaceted examination of trade secrets, illustrating its application across intellectual property & technology law issues. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/8753807/,2018-04-30,"U.S. Court of Appeals, 9th Circuit",Intellectual Property & Technology Law,Trade Secrets,"This judgment concerns trade secrets ruling. this proceeding involves a multifaceted examination of trade secrets, illustrating its application across intellectual property & technology law issues.",32,2018,5a053f2274,US-Federal
"Smith v. Johnson, 451 F.Supp.2d (2012)","This opinion addresses legal questions related to the ruling underscores the importance of legal safeguards in ip licensing, as framed by broader intellectual property & technology law objectives. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/1422895/,2015-12-31,"U.S. District Court, Southern District of New York",Intellectual Property & Technology Law,IP Licensing,"The court evaluates arguments related to ip licensing ruling. the ruling underscores the importance of legal safeguards in ip licensing, as framed by broader intellectual property & technology law objectives.",35,2015,13cb5bac20,US-State
"Taylor v. EPA, 146 F.3d (2015)","This opinion addresses legal questions related to this legal dispute explores aspects of competition law within the context of corporate & commercial law, focusing on recent developments and challenges. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/2706338/,2018-09-30,"U.S. District Court, Southern District of New York",Corporate & Commercial Law,Competition Law,"This ruling pertains to competition law ruling. this legal dispute explores aspects of competition law within the context of corporate & commercial law, focusing on recent developments and challenges.",36,2018,06b40219b5,US-Federal
"Martin v. Google Inc., 670 F.3d (2013)",This opinion addresses legal questions related to a landmark decision touching upon international treaties where the court addressed complex legal issues surrounding international & human rights law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/1966968/,2025-02-15,Texas Supreme Court,International & Human Rights Law,International Treaties,The case deals with international treaties ruling. a landmark decision touching upon international treaties where the court addressed complex legal issues surrounding international & human rights law.,33,2025,a8367da6f9,US-State
"Martin v. Google Inc., 793 F.Supp.2d (2023)","This opinion addresses legal questions related to the case sets a precedent in the field of company law, emphasizing judicial interpretation and statutory application under corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/2412023/,2018-11-20,California Supreme Court,Corporate & Commercial Law,Company Law,"This judgment concerns company law ruling. the case sets a precedent in the field of company law, emphasizing judicial interpretation and statutory application under corporate & commercial law.",36,2018,e04ad189b2,US-Federal
"Garcia v. Department of Justice, 748 F.3d (2001)","This opinion addresses legal questions related to substantive criminal law, shedding light on enforcement practices and procedural nuances in criminal law & procedure. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/7941732/,2021-10-18,New York Court of Appeals,Criminal Law & Procedure,Substantive Criminal Law,"The opinion explores legal issues surrounding substantive criminal law ruling. an important ruling involving substantive criminal law, shedding light on enforcement practices and procedural nuances in criminal law & procedure.",35,2021,fc219d7032,US-Federal
"Taylor v. EPA, 310 F.3d (2013)","This opinion addresses legal questions related to through this case, the judiciary analyzed principles of sustainable development while reinforcing key doctrines from environmental & energy law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/3660544/,2022-01-29,California Supreme Court,Environmental & Energy Law,Sustainable Development,"In this decision, the court addresses sustainable development ruling. through this case, the judiciary analyzed principles of sustainable development while reinforcing key doctrines from environmental & energy law.",32,2022,453f46114c,US-State
"Taylor v. EPA, 816 F.3d (2006)","This opinion addresses legal questions related to in a significant legal interpretation, the case examines evolving standards related to securities regulation under the umbrella of corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/5378730/,2020-01-10,Texas Supreme Court,Corporate & Commercial Law,Securities Regulation,"In this decision, the court addresses securities regulation ruling. in a significant legal interpretation, the case examines evolving standards related to securities regulation under the umbrella of corporate & commercial law.",36,2020,d8ba3289e7,US-State
"Doe v. University of Texas, 818 U.S. (2023)","This opinion addresses legal questions related to the facts of this matter center on contract law, where the court balanced competing interests within corporate & commercial law principles. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/8358324/,2015-08-11,"U.S. District Court, Southern District of New York",Corporate & Commercial Law,Contract Law,"The opinion explores legal issues surrounding contract law ruling. the facts of this matter center on contract law, where the court balanced competing interests within corporate & commercial law principles.",35,2015,21900a1c9f,US-Federal
"Davis v. IRS, 679 U.S. (2002)",This opinion addresses legal questions related to a dispute that highlights regulatory and constitutional questions surrounding e-commerce law in relation to corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/6240603/,2022-01-28,"U.S. District Court, Southern District of New York",Corporate & Commercial Law,E-Commerce Law,The court evaluates arguments related to e-commerce law ruling. a dispute that highlights regulatory and constitutional questions surrounding e-commerce law in relation to corporate & commercial law.,31,2022,db45dd43f8,US-State
"Anderson v. State of California, 298 S.Ct. (2004)","This opinion addresses legal questions related to this proceeding involves a multifaceted examination of software licensing, illustrating its application across intellectual property & technology law issues. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9149343/,2022-09-12,California Supreme Court,Intellectual Property & Technology Law,Software Licensing,"This ruling pertains to software licensing ruling. this proceeding involves a multifaceted examination of software licensing, illustrating its application across intellectual property & technology law issues.",32,2022,c23be77bb5,US-State
"Davis v. IRS, 223 U.S. (2024)","This opinion addresses legal questions related to the ruling underscores the importance of legal safeguards in data privacy law, as framed by broader intellectual property & technology law objectives. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9483299/,2021-08-16,"U.S. Court of Appeals, 9th Circuit",Intellectual Property & Technology Law,Data Privacy Law,"The opinion explores legal issues surrounding data privacy law ruling. the ruling underscores the importance of legal safeguards in data privacy law, as framed by broader intellectual property & technology law objectives.",37,2021,3c866178bd,US-Federal
"Garcia v. Department of Justice, 504 Fed. Appx. (2004)","This opinion addresses legal questions related to this legal dispute explores aspects of renewable energy law within the context of environmental & energy law, focusing on recent developments and challenges. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/1620038/,2015-08-11,California Supreme Court,Environmental & Energy Law,Renewable Energy Law,"This matter involves renewable energy law ruling. this legal dispute explores aspects of renewable energy law within the context of environmental & energy law, focusing on recent developments and challenges.",39,2015,5278df0377,US-State
"Taylor v. EPA, 271 S.Ct. (2003)",This opinion addresses legal questions related to a landmark decision touching upon banking law where the court addressed complex legal issues surrounding corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/1375758/,2022-03-30,"Illinois Appellate Court, 1st District",Corporate & Commercial Law,Banking Law,This matter involves banking law ruling. a landmark decision touching upon banking law where the court addressed complex legal issues surrounding corporate & commercial law.,32,2022,0c9632e0e0,US-State
"Doe v. University of Texas, 512 F.Supp.2d (2013)","This opinion addresses legal questions related to the case sets a precedent in the field of fundamental rights, emphasizing judicial interpretation and statutory application under constitutional & administrative law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/1990341/,2021-01-01,New York Court of Appeals,Constitutional & Administrative Law,Fundamental Rights,"In this decision, the court addresses fundamental rights ruling. the case sets a precedent in the field of fundamental rights, emphasizing judicial interpretation and statutory application under constitutional & administrative law.",36,2021,aaa708ce3d,US-Federal
"Smith v. Johnson, 216 U.S. (2005)","This opinion addresses legal questions related to data privacy law, shedding light on enforcement practices and procedural nuances in intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/2151264/,2024-01-24,Supreme Court of the United States,Intellectual Property & Technology Law,Data Privacy Law,"The opinion explores legal issues surrounding data privacy law ruling. an important ruling involving data privacy law, shedding light on enforcement practices and procedural nuances in intellectual property & technology law.",36,2024,1dd2bba332,US-State
"Anderson v. State of California, 361 S.Ct. (2009)","This opinion addresses legal questions related to through this case, the judiciary analyzed principles of war crimes while reinforcing key doctrines from international & human rights law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/5878237/,2021-03-27,New York Court of Appeals,International & Human Rights Law,War Crimes,"The court evaluates arguments related to war crimes ruling. through this case, the judiciary analyzed principles of war crimes while reinforcing key doctrines from international & human rights law.",33,2021,1833e22422,US-State
"Davis v. IRS, 520 S.Ct. (2009)","This opinion addresses legal questions related to in a significant legal interpretation, the case examines evolving standards related to public interest litigation under the umbrella of constitutional & administrative law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/5263073/,2025-01-28,Supreme Court of the United States,Constitutional & Administrative Law,Public Interest Litigation,"The court evaluates arguments related to public interest litigation ruling. in a significant legal interpretation, the case examines evolving standards related to public interest litigation under the umbrella of constitutional & administrative law.",39,2025,0944f0d51a,US-Federal
"Doe v. University of Texas, 685 U.S. (2019)","This opinion addresses legal questions related to the facts of this matter center on federalism, where the court balanced competing interests within constitutional & administrative law principles. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9612652/,2017-12-06,Supreme Court of the United States,Constitutional & Administrative Law,Federalism,"The case deals with federalism ruling. the facts of this matter center on federalism, where the court balanced competing interests within constitutional & administrative law principles.",32,2017,dd998aedb2,US-State
"Martin v. Google Inc., 950 Fed. Appx. (2012)",This opinion addresses legal questions related to a dispute that highlights regulatory and constitutional questions surrounding cyber crime in relation to criminal law & procedure. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/4537929/,2019-08-12,Texas Supreme Court,Criminal Law & Procedure,Cyber Crime,The opinion explores legal issues surrounding cyber crime ruling. a dispute that highlights regulatory and constitutional questions surrounding cyber crime in relation to criminal law & procedure.,31,2019,ccd2237306,US-State
"Anderson v. State of California, 718 Fed. Appx. (2022)","This opinion addresses legal questions related to this proceeding involves a multifaceted examination of criminal procedure, illustrating its application across criminal law & procedure issues. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9489219/,2022-12-15,California Supreme Court,Criminal Law & Procedure,Criminal Procedure,"This matter involves criminal procedure ruling. this proceeding involves a multifaceted examination of criminal procedure, illustrating its application across criminal law & procedure issues.",31,2022,5104a030ba,US-State
"Smith v. Johnson, 196 S.Ct. (2007)","This opinion addresses legal questions related to the ruling underscores the importance of legal safeguards in contract law, as framed by broader corporate & commercial law objectives. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9917480/,2017-09-11,"Illinois Appellate Court, 1st District",Corporate & Commercial Law,Contract Law,"In this decision, the court addresses contract law ruling. the ruling underscores the importance of legal safeguards in contract law, as framed by broader corporate & commercial law objectives.",33,2017,1755d6ffce,US-Federal
"Anderson v. State of California, 532 S.Ct. (2012)","This opinion addresses legal questions related to this legal dispute explores aspects of e-commerce law within the context of corporate & commercial law, focusing on recent developments and challenges. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/7947130/,2025-07-09,"U.S. Court of Appeals, 9th Circuit",Corporate & Commercial Law,E-Commerce Law,"This matter involves e-commerce law ruling. this legal dispute explores aspects of e-commerce law within the context of corporate & commercial law, focusing on recent developments and challenges.",36,2025,938fabe0a2,US-Federal
"Martin v. Google Inc., 872 Fed. Appx. (2009)",This opinion addresses legal questions related to a landmark decision touching upon digital rights management where the court addressed complex legal issues surrounding intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/6054048/,2018-03-30,"U.S. District Court, Southern District of New York",Intellectual Property & Technology Law,Digital Rights Management,This judgment concerns digital rights management ruling. a landmark decision touching upon digital rights management where the court addressed complex legal issues surrounding intellectual property & technology law.,36,2018,2e1a0e4d1e,US-Federal
"Davis v. IRS, 118 Fed. Appx. (2015)","This opinion addresses legal questions related to the case sets a precedent in the field of administrative tribunals, emphasizing judicial interpretation and statutory application under constitutional & administrative law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/8466461/,2024-12-16,California Supreme Court,Constitutional & Administrative Law,Administrative Tribunals,"The case deals with administrative tribunals ruling. the case sets a precedent in the field of administrative tribunals, emphasizing judicial interpretation and statutory application under constitutional & administrative law.",36,2024,9ad27978f5,US-State
"Garcia v. Department of Justice, 237 Fed. Appx. (2017)","This opinion addresses legal questions related to internet governance, shedding light on enforcement practices and procedural nuances in intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/3446722/,2018-12-21,California Supreme Court,Intellectual Property & Technology Law,Internet Governance,"This matter involves internet governance ruling. an important ruling involving internet governance, shedding light on enforcement practices and procedural nuances in intellectual property & technology law.",33,2018,6ec200a31e,US-Federal
"Doe v. University of Texas, 273 S.Ct. (2023)","This opinion addresses legal questions related to through this case, the judiciary analyzed principles of sustainable development while reinforcing key doctrines from environmental & energy law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/8965384/,2017-04-11,New York Court of Appeals,Environmental & Energy Law,Sustainable Development,"The court evaluates arguments related to sustainable development ruling. through this case, the judiciary analyzed principles of sustainable development while reinforcing key doctrines from environmental & energy law.",32,2017,26e35daa77,US-State
"Anderson v. State of California, 615 Fed. Appx. (2021)","This opinion addresses legal questions related to in a significant legal interpretation, the case examines evolving standards related to federalism under the umbrella of constitutional & administrative law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/3193870/,2021-06-09,"Illinois Appellate Court, 1st District",Constitutional & Administrative Law,Federalism,"The court evaluates arguments related to federalism ruling. in a significant legal interpretation, the case examines evolving standards related to federalism under the umbrella of constitutional & administrative law.",33,2021,7e3e38b039,US-Federal
"Roe v. Wade, 301 U.S. (2015)","This opinion addresses legal questions related to the facts of this matter center on humanitarian law, where the court balanced competing interests within international & human rights law principles. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/9497035/,2024-04-21,California Supreme Court,International & Human Rights Law,Humanitarian Law,"This ruling pertains to humanitarian law ruling. the facts of this matter center on humanitarian law, where the court balanced competing interests within international & human rights law principles.",36,2024,acef625a78,US-Federal
"Martin v. Google Inc., 921 Fed. Appx. (2003)",This opinion addresses legal questions related to a dispute that highlights regulatory and constitutional questions surrounding software licensing in relation to intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/4466884/,2016-07-23,"U.S. Court of Appeals, 9th Circuit",Intellectual Property & Technology Law,Software Licensing,This judgment concerns software licensing ruling. a dispute that highlights regulatory and constitutional questions surrounding software licensing in relation to intellectual property & technology law.,32,2016,5791bc2916,US-Federal
"Taylor v. EPA, 558 F.3d (2006)","This opinion addresses legal questions related to this proceeding involves a multifaceted examination of un conventions, illustrating its application across international & human rights law issues. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/1648338/,2023-06-28,"U.S. District Court, Southern District of New York",International & Human Rights Law,UN Conventions,"This matter involves un conventions ruling. this proceeding involves a multifaceted examination of un conventions, illustrating its application across international & human rights law issues.",32,2023,39e55b77e7,US-State
"Davis v. IRS, 204 U.S. (2006)","This opinion addresses legal questions related to the ruling underscores the importance of legal safeguards in juvenile justice, as framed by broader criminal law & procedure objectives. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/6196443/,2017-05-09,"U.S. Court of Appeals, 9th Circuit",Criminal Law & Procedure,Juvenile Justice,"The opinion explores legal issues surrounding juvenile justice ruling. the ruling underscores the importance of legal safeguards in juvenile justice, as framed by broader criminal law & procedure objectives.",33,2017,2240160123,US-State
"Garcia v. Department of Justice, 687 Fed. Appx. (2016)","This opinion addresses legal questions related to this legal dispute explores aspects of global health law within the context of international & human rights law, focusing on recent developments and challenges. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/6657162/,2023-11-15,Texas Supreme Court,International & Human Rights Law,Global Health Law,"The court evaluates arguments related to global health law ruling. this legal dispute explores aspects of global health law within the context of international & human rights law, focusing on recent developments and challenges.",40,2023,23b6a554bb,US-State
"Garcia v. Department of Justice, 561 Fed. Appx. (2022)",This opinion addresses legal questions related to a landmark decision touching upon international criminal court where the court addressed complex legal issues surrounding international & human rights law. The court's reasoning is grounded in applicable statutory and constitutional provisions.,https://www.courtlistener.com/opinion/6921071/,2018-08-12,"Illinois Appellate Court, 1st District",International & Human Rights Law,International Criminal Court,This ruling pertains to international criminal court ruling. a landmark decision touching upon international criminal court where the court addressed complex legal issues surrounding international & human rights law.,36,2018,4fc83bbb0e,US-State
"Taylor v. EPA, 972 F.Supp.2d (2011)","This opinion addresses legal questions related to the case sets a precedent in the field of trademark law, emphasizing judicial interpretation and statutory application under intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/4812421/,2023-01-15,"U.S. District Court, Southern District of New York",Intellectual Property & Technology Law,Trademark Law,"This judgment concerns trademark law ruling. the case sets a precedent in the field of trademark law, emphasizing judicial interpretation and statutory application under intellectual property & technology law.",37,2023,c61e573b32,US-Federal
"Martin v. Google Inc., 581 F.3d (2008)","This opinion addresses legal questions related to gender rights under international law, shedding light on enforcement practices and procedural nuances in international & human rights law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/2445257/,2018-11-23,Texas Supreme Court,International & Human Rights Law,Gender Rights under International Law,"The opinion explores legal issues surrounding gender rights under international law ruling. an important ruling involving gender rights under international law, shedding light on enforcement practices and procedural nuances in international & human rights law.",41,2018,87860425d1,US-State
"Davis v. IRS, 603 S.Ct. (2017)","This opinion addresses legal questions related to through this case, the judiciary analyzed principles of trademark law while reinforcing key doctrines from intellectual property & technology law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/3878542/,2017-02-23,"U.S. District Court, Southern District of New York",Intellectual Property & Technology Law,Trademark Law,"The case deals with trademark law ruling. through this case, the judiciary analyzed principles of trademark law while reinforcing key doctrines from intellectual property & technology law.",33,2017,266f6d8f89,US-State
"Anderson v. State of California, 396 F.Supp.2d (2003)","This opinion addresses legal questions related to in a significant legal interpretation, the case examines evolving standards related to commercial arbitration under the umbrella of corporate & commercial law. The court's reasoning is grounded in applicable statutory and constitutional provisions.",https://www.courtlistener.com/opinion/2851610/,2016-11-08,"U.S. District Court, Southern District of New York",Corporate & Commercial Law,Commercial Arbitration,"The court evaluates arguments related to commercial arbitration ruling. in a significant legal interpretation, the case examines evolving standards related to commercial arbitration under the umbrella of corporate & commercial law.",36,2016,2203087d94,US-State
